file,measure,pitch,fingering,part,midi,has_annotation,interval,abs_interval,measure_position,measure_length,measure_position_norm,hand_encoding,prev_fingering,next_fingering,is_black_key,is_step_motion,is_large_jump,octave,is_high_register,is_low_register,is_ascending,is_descending
annotated_Piano7_candace_page2,6,C#5,1.0,P1,73,True,5.0,5.0,3,11,0.2727272727272727,0,1.0,2.0,1,0,0,6,1,0,1,0
annotated_Piano7_candace_page2,6,G#4,2.0,P1,68,True,-5.0,5.0,4,11,0.36363636363636365,0,1.0,5.0,1,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,6,A3,5.0,P1,57,True,-11.0,11.0,5,11,0.45454545454545453,0,2.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,6,E4,1.0,P1,64,True,7.0,7.0,6,11,0.5454545454545454,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,6,C#4,3.0,P1,61,True,-3.0,3.0,7,11,0.6363636363636364,0,1.0,5.0,1,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,6,F3,5.0,P1,53,True,-8.0,8.0,8,11,0.7272727272727273,0,3.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,6,C4,1.0,P1,60,True,7.0,7.0,9,11,0.8181818181818182,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,6,A3,3.0,P1,57,True,-3.0,3.0,10,11,0.9090909090909091,0,1.0,1.0,0,0,0,4,0,1,0,1
annotated_Piano7_candace_page2,7,A#4,1.0,P1,70,True,13.0,13.0,0,7,0.0,0,3.0,4.0,1,0,1,5,0,0,1,0
annotated_Piano7_candace_page2,7,D5,4.0,P1,74,True,4.0,4.0,1,7,0.14285714285714285,0,1.0,1.0,0,0,0,6,1,0,1,0
annotated_Piano7_candace_page2,7,A4,1.0,P1,69,True,-5.0,5.0,2,7,0.2857142857142857,0,4.0,3.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,7,C5,3.0,P1,72,True,3.0,3.0,3,7,0.42857142857142855,0,1.0,5.0,0,0,0,6,0,0,1,0
annotated_Piano7_candace_page2,7,A#3,5.0,P1,58,True,-14.0,14.0,4,7,0.5714285714285714,0,3.0,1.0,1,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,7,F4,1.0,P1,65,True,7.0,7.0,5,7,0.7142857142857143,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,7,D4,3.0,P1,62,True,-3.0,3.0,6,7,0.8571428571428571,0,1.0,1.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,8,A4,1.0,P1,69,True,7.0,7.0,0,6,0.0,0,3.0,1.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,8,A#4,1.0,P1,70,True,1.0,1.0,1,6,0.16666666666666666,0,1.0,3.0,1,1,0,5,0,0,1,0
annotated_Piano7_candace_page2,8,C5,3.0,P1,72,True,2.0,2.0,2,6,0.3333333333333333,0,1.0,5.0,0,1,0,6,0,0,1,0
annotated_Piano7_candace_page2,8,A#3,5.0,P1,58,True,-14.0,14.0,3,6,0.5,0,3.0,1.0,1,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,8,F4,1.0,P1,65,True,7.0,7.0,4,6,0.6666666666666666,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,8,D4,3.0,P1,62,True,-3.0,3.0,5,6,0.8333333333333334,0,1.0,1.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,9,A4,1.0,P1,69,True,7.0,7.0,0,6,0.0,0,3.0,4.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,9,C#5,4.0,P1,73,True,4.0,4.0,1,6,0.16666666666666666,0,1.0,1.0,1,0,0,6,1,0,1,0
annotated_Piano7_candace_page2,9,G#4,1.0,P1,68,True,-5.0,5.0,2,6,0.3333333333333333,0,4.0,5.0,1,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,9,A3,5.0,P1,57,True,-11.0,11.0,3,6,0.5,0,1.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,9,E4,1.0,P1,64,True,7.0,7.0,4,6,0.6666666666666666,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,9,C#4,3.0,P1,61,True,-3.0,3.0,5,6,0.8333333333333334,0,1.0,1.0,1,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,10,A4,1.0,P1,69,True,8.0,8.0,0,10,0.0,0,3.0,4.0,0,0,1,5,0,0,1,0
annotated_Piano7_candace_page2,10,C#5,4.0,P1,73,True,4.0,4.0,1,10,0.1,0,1.0,1.0,1,0,0,6,1,0,1,0
annotated_Piano7_candace_page2,10,G#4,1.0,P1,68,True,-5.0,5.0,2,10,0.2,0,4.0,1.0,1,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,10,C#5,1.0,P1,73,True,5.0,5.0,3,10,0.3,0,1.0,5.0,1,0,0,6,1,0,1,0
annotated_Piano7_candace_page2,10,A3,5.0,P1,57,True,-16.0,16.0,4,10,0.4,0,1.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,10,E4,1.0,P1,64,True,7.0,7.0,5,10,0.5,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,10,C#4,3.0,P1,61,True,-3.0,3.0,6,10,0.6,0,1.0,5.0,1,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,10,F3,5.0,P1,53,True,-8.0,8.0,7,10,0.7,0,3.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,10,C4,1.0,P1,60,True,7.0,7.0,8,10,0.8,0,5.0,3.0,0,0,0,5,0,0,1,0
